	1	117	9000	5280	1.090458488	0.15	4	4842	0	1	;
	2	87	9000	5280	1.090458488	0.15	4	4842	0	1	;
	3	74	9000	5280	1.090458488	0.15	4	4842	0	1	;
	4	233	9000	5280	1.090458488	0.15	4	4842	0	1	;
	5	165	9000	5280	1.090458488	0.15	4	4842	0	1	;
	6	213	9000	5280	1.090458488	0.15	4	4842	0	1	;
	7	253	9000	5280	1.090458488	0.15	4	4842	0	1	;
	8	411	5400	2640	1	0.15	4	2640	0	1	;
	9	379	5400	2640	1	0.15	4	2640	0	1	;
	9	395	5400	2640	1	0.15	4	2640	0	1	;
	10	338	5400	2640	1	0.15	4	2640	0	1	;
	10	362	5400	2640	1	0.15	4	2640	0	1	;
	11	309	5400	2640	1	0.15	4	2640	0	1	;
	12	275	5400	2640	1	0.15	4	2640	0	1	;
	13	262	5400	2640	1	0.15	4	2640	0	1	;
	14	257	5400	2640	1	0.15	4	2640	0	1	;
	15	254	5400	2640	1	0.15	4	2640	0	1	;
	16	263	5400	2640	1	0.15	4	2640	0	1	;
	17	276	5400	2640	1	0.15	4	2640	0	1	;
	18	322	5400	2640	1	0.15	4	2640	0	1	;
	18	348	5400	2640	1	0.15	4	2640	0	1	;
	19	364	5400	2640	1	0.15	4	2640	0	1	;
	19	380	5400	2640	1	0.15	4	2640	0	1	;
	20	397	5400	2640	1	0.15	4	2640	0	1	;
	21	412	5400	2640	1	0.15	4	2640	0	1	;
	21	413	5400	2640	1	0.15	4	2640	0	1	;
	22	414	5400	2640	1	0.15	4	2640	0	1	;
	22	415	5400	2640	1	0.15	4	2640	0	1	;
	23	416	5400	2640	1	0.15	4	2640	0	1	;
	24	266	12600	1320	0.149068323	0.15	4	8855	0	1	;
	24	267	12600	1320	0.149068323	0.15	4	8855	0	1	;
	25	268	12600	1320	0.149068323	0.15	4	8855	0	1	;
	25	269	12600	1320	0.149068323	0.15	4	8855	0	1	;
	26	273	12600	1320	0.149068323	0.15	4	8855	0	1	;
	26	274	12600	1320	0.149068323	0.15	4	8855	0	1	;
	27	302	12600	1320	0.149068323	0.15	4	8855	0	1	;
	27	303	12600	1320	0.149068323	0.15	4	8855	0	1	;
	28	303	12600	1320	0.149068323	0.15	4	8855	0	1	;
	28	304	12600	1320	0.149068323	0.15	4	8855	0	1	;
	29	308	12600	1320	0.149068323	0.15	4	8855	0	1	;
	29	337	12600	1320	0.149068323	0.15	4	8855	0	1	;
	30	340	12600	1320	0.149068323	0.15	4	8855	0	1	;
	30	341	12600	1320	0.149068323	0.15	4	8855	0	1	;
	31	329	12600	1320	0.149068323	0.15	4	8855	0	1	;
	31	330	12600	1320	0.149068323	0.15	4	8855	0	1	;
	32	332	12600	1320	0.149068323	0.15	4	8855	0	1	;
	32	333	12600	1320	0.149068323	0.15	4	8855	0	1	;
	33	337	12600	1320	0.149068323	0.15	4	8855	0	1	;
	33	361	12600	1320	0.149068323	0.15	4	8855	0	1	;
	34	369	12600	1320	0.149068323	0.15	4	8855	0	1	;
	34	385	12600	1320	0.149068323	0.15	4	8855	0	1	;
	35	373	12600	1320	0.149068323	0.15	4	8855	0	1	;
	35	389	12600	1320	0.149068323	0.15	4	8855	0	1	;
	36	378	12600	1320	0.149068323	0.15	4	8855	0	1	;
	36	394	12600	1320	0.149068323	0.15	4	8855	0	1	;
	37	401	12600	1320	0.149068323	0.15	4	8855	0	1	;
	37	402	12600	1320	0.149068323	0.15	4	8855	0	1	;
	38	406	12600	1320	0.149068323	0.15	4	8855	0	1	;
	38	407	12600	1320	0.149068323	0.15	4	8855	0	1	;
	39	266	5400	3854	1.459848485	0.15	4	2640	0	1	;
	39	267	5400	3854	1.459848485	0.15	4	2640	0	1	;
	40	268	5400	3485	1.320075758	0.15	4	2640	0	1	;
	40	269	5400	3485	1.320075758	0.15	4	2640	0	1	;
	41	273	5400	2640	1	0.15	4	2640	0	1	;
	41	274	5400	2640	1	0.15	4	2640	0	1	;
	42	302	5400	2640	1	0.15	4	2640	0	1	;
	42	303	5400	2640	1	0.15	4	2640	0	1	;
	43	303	5400	4066	1.540151515	0.15	4	2640	0	1	;
	43	304	5400	4066	1.540151515	0.15	4	2640	0	1	;
	44	308	5400	2640	1	0.15	4	2640	0	1	;
	44	337	5400	7920	3	0.15	4	2640	0	1	;
	45	340	5400	2640	1	0.15	4	2640	0	1	;
	45	341	5400	2640	1	0.15	4	2640	0	1	;
	46	329	5400	2640	1	0.15	4	2640	0	1	;
	46	330	5400	2640	1	0.15	4	2640	0	1	;
	47	332	5400	2429	0.920075758	0.15	4	2640	0	1	;
	47	333	5400	2482	0.940151515	0.15	4	2640	0	1	;
	48	337	5400	2640	1	0.15	4	2640	0	1	;
	48	361	5400	2640	1	0.15	4	2640	0	1	;
	49	369	5400	2640	1	0.15	4	2640	0	1	;
	49	385	5400	2640	1	0.15	4	2640	0	1	;
	50	373	5400	2640	1	0.15	4	2640	0	1	;
	50	389	5400	2640	1	0.15	4	2640	0	1	;
	51	378	5400	2640	1	0.15	4	2640	0	1	;
	51	394	5400	2640	1	0.15	4	2640	0	1	;
	52	401	5400	2640	1	0.15	4	2640	0	1	;
	52	402	5400	2640	1	0.15	4	2640	0	1	;
	53	406	5400	2851	1.079924242	0.15	4	2640	0	1	;
	53	407	5400	2798	1.059848485	0.15	4	2640	0	1	;
	54	56	9000	1320	0.333333333	0.15	4	3960	0	1	;
	54	230	9000	1320	0.333333333	0.15	4	3960	0	1	;
	55	59	9000	1320	0.333333333	0.15	4	3960	0	1	;
	56	102	9000	1320	0.333333333	0.15	4	3960	0	1	;
	57	54	9000	1320	0.333333333	0.15	4	3960	0	1	;
	57	235	9000	1320	0.333333333	0.15	4	3960	0	1	;
	58	137	9000	1320	0.333333333	0.15	4	3960	0	1	;
	58	145	9000	1320	0.333333333	0.15	4	3960	0	1	;
	59	146	9000	1320	0.333333333	0.15	4	3960	0	1	;
	60	102	9000	1320	0.333333333	0.15	4	3960	0	1	;
	60	230	9000	1320	0.333333333	0.15	4	3960	0	1	;
	61	136	9000	1320	0.333333333	0.15	4	3960	0	1	;
	62	2	9000	5280	1.090458488	0.15	4	4842	0	1	;
	63	62	7200	5280	1.090458488	0.15	4	4842	0	1	;
	64	63	7200	2640	0.545229244	0.15	4	4842	0	1	;
	64	189	7200	1320	0.333333333	0.15	4	3960	0	1	;
	65	64	7200	1690	0.349029327	0.15	4	4842	0	1	;
	66	65	7200	1109	0.229037588	0.15	4	4842	0	1	;
	67	66	7200	1320	0.272614622	0.15	4	4842	0	1	;
	67	260	1800	1320	0.5	0.15	4	2640	0	1	;
	68	67	7200	8501	1.755679471	0.15	4	4842	0	1	;
	69	68	7200	1320	0.272614622	0.15	4	4842	0	1	;
	69	258	1800	1320	0.5	0.15	4	2640	0	1	;
	70	69	7200	6811	1.406650145	0.15	4	4842	0	1	;
	71	70	7200	1320	0.272614622	0.15	4	4842	0	1	;
	71	255	1800	1320	0.5	0.15	4	2640	0	1	;
	72	71	7200	1320	0.272614622	0.15	4	4842	0	1	;
	73	72	7200	2270	0.468814539	0.15	4	4842	0	1	;
	73	141	7200	1320	0.333333333	0.15	4	3960	0	1	;
	74	73	7200	5280	1.090458488	0.15	4	4842	0	1	;
	75	3	9000	5280	1.090458488	0.15	4	4842	0	1	;
	76	75	7200	5280	1.090458488	0.15	4	4842	0	1	;
	77	76	7200	2270	0.468814539	0.15	4	4842	0	1	;
	77	141	7200	1320	0.333333333	0.15	4	3960	0	1	;
	78	77	7200	1320	0.272614622	0.15	4	4842	0	1	;
	79	78	7200	1320	0.272614622	0.15	4	4842	0	1	;
	79	256	1800	1320	0.5	0.15	4	2640	0	1	;
